Name of Primary Health Center,PHC LGA,State of PHC_x,Check for any of these building failures./Broken Celling,Check for any of these building failures./Damaged Chairs,Check for any of these building failures./Damaged Door,Which of these Equipment are Available Labor Ward(Delivery Bed)?,Does the PHC have these Areas within the Premises(Functional Pharmacy)?,Does the PHC have these Areas within the Premises(Intensive Care Unit)?,Check for any of these building failures./Damaged/Leaking roofs,Which of these Equipment are Available Labor Ward(Fetal Heart Rate Monitor)?,Which of these Equipment are Available Labor Ward(Neo-Natal Resuscitation Equipment)?,How is Hospital Waste Disposed?,Specify Other Ways of Disposing Waste by the PHC?,Does the health care center have a well-built and Maintained structure ?,Any Dilapidated Hospital Building in the Premises of PHC ?,Does the center have clean and functional restrooms?,Number of Clean and Functional Restrooms?,Total Number of Hospital Beds,State of PHC_y,How many wards in Total do you
Budong Primary Health Clinic,Lau,Taraba State,,,,No,,,,No,No,Burnt,Bury,,,No,0.0,,Taraba State,2
Budong Primary Health Clinic,Lau ,Taraba State,No,Yes,No,,No,No,Yes,,,,,Yes,Yes,,,2,Taraba State,2
Chenchenji Primary Health Center,Wukari,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Thrown in Bush,,Yes,No,Yes,2.0,9,Taraba State,3
Costine Primary Health Center,Ussa,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Discarded by Waste Managers,,Yes,No,Yes,3.0,4,Taraba State,2
Dankum Primary Health Care Center,Yorro,Taraba State,No,Yes,No,No,No,No,Yes,Yes,No,Thrown in a Pit,Burnt,Yes,No,No,1.0,6,Taraba State,3
Didango Primary Health Care Muri A Ward Karim Lamido Lga,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,3.0,0,Taraba State,2
Dingding PHCC,Zing,Taraba State,Yes,Yes,No,Yes,No,No,Yes,No,No,Burnt,,Yes,Yes,No,0.0,5,Taraba State,2
Dutse Primary Health Center,Takum,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,4.0,4,Taraba State,2
Fada Primary Health Clinic,Donga,Taraba State,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Thrown in a Pit,Burnt,Yes,No,No,0.0,2,Taraba State,2
First Referral Hospital Sunkani,Ardo-kola,Taraba State,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Thrown in a Pit,Burnt,No,Yes,No,0.0,Greater than 10,Taraba State,4
Garin Jatau Phc,Ardo-kola,Taraba State,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Burnt,Bury and Burnt,No,No,No,0.0,2,Taraba State,3
Gayama Primary Health Care Center,Donga,Taraba State,,,,Yes,,,,Yes,Yes,Thrown in a Pit,,,,Yes,2.0,,Taraba State,2
Gayama Primary Health Care Center,Donga ,Taraba State,Yes,No,No,,No,No,No,,,,,Yes,Yes,,,6,Taraba State,2
High Mammy Primary Health Center.,Takum,Taraba State,Yes,No,Yes,Yes,No,No,No,No,No,Burnt,,Yes,No,Yes,6.0,9,Taraba State,Greater than 20
Hon Imam Primary Healthcare Centre Jalingo,Jalingo,Taraba State,,,,Yes,,,,No,No,Burnt,Discarded in sanitary land fills.,,,Yes,3.0,,Taraba State,3
Hon Imam Primary Healthcare Centre Jalingo ,Jalingo,Taraba State,No,Yes,Yes,,No,No,No,,,,,Yes,No,,,9,,
Jenuwa gida primary health center,Takum,Taraba State,,,,Yes,,,,No,No,Thrown in a Pit,,,,No,1.0,,Taraba State,1
Jenuwa gida primary health center,Takum ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,No,No,,,3,Taraba State,1
Jimlari Primary Health Care Centre,Lau,Taraba State,No,Yes,No,Yes,No,No,No,No,No,Discarded by Waste Managers,Thrown in a bush,Yes,Yes,No,0.0,6,Taraba State,1
Kajong Primary Health Care Center,Yorro,Taraba State,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Thrown in a Pit,Burnt,Yes,Yes,Yes,1.0,6,Taraba State,3
Kakara Primary Health Center,Sardauna,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Thrown in Bush,,Yes,Yes,Yes,4.0,9,Taraba State,2
Kankani Primary Health Clinic,Bali,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Thrown in a Pit,Burnt,No,No,No,0.0,6,Taraba State,2
Karim Jen Ardido Ward  Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,,No,No,No,,,,,No,No,,,5,,
Karim Jen Ardido Ward Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,,,,Yes,,,,No,No,Thrown in Bush,,,,No,0.0,,Taraba State,2
Kashimbila Primary Health Center,Takum,Taraba State,No,No,No,Yes,No,No,No,No,No,Discarded by Waste Managers,,Yes,No,Yes,3.0,Greater than 10,Taraba State,3
Kasimbli Primary Health Center. A  Opposite Center Mo- Ques Kasimbli,Takum,Taraba State,Yes,No,Yes,,,,No,,,,,Yes,Yes,,,5,,
Kasimbli Primary Health Center. A  Opposite Center Mo- Ques Kasimbli,Takum,Taraba state,,,,,No,No,,,,,,,,,,,,
Kasimbli Primary Health Center. A Opposite Center Mo- Ques Kasimbli,Takum,Taraba state,,,,No,,,,No,No,Burnt,,,,Yes,1.0,,Taraba State,2
Kente Primary Health Care Center,Wukari,Taraba State,No,No,No,Yes,No,No,No,Yes,No,Thrown in a Pit,Burnt,Yes,No,Yes,2.0,6,Taraba State,3
Kpankufung primary health cente,Takum,Taraba State,,,,Yes,,,,Yes,Yes,Thrown in a Pit,,,,No,4.0,,Taraba State,3
Kpankufung primary health cente,Takum ,Taraba State,Yes,Yes,No,,No,No,Yes,,,,,Yes,No,,,10,Taraba State,3
Kpankufung primary health center,Takum,Taraba State,,,,No,,,,No,No,Others,,,,No,0.0,,Taraba State,
Kpankufung primary health center,Takum ,Taraba State,No,No,No,,No,No,No,,,,,No,No,,,0,Taraba State,
Kunini Primary Health Care Center,Lau,Taraba State,,,,No,,,,Yes,No,Burnt,Bury,,,No,0.0,,Taraba State,5
Kunini Primary Health Care Center,Lau ,Taraba State,Yes,No,Yes,,No,No,Yes,,,,,Yes,Yes,,,8,Taraba State,5
Kusuku Primary Health Center,Sardauna,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Discarded by Waste Managers,,Yes,Yes,No,2.0,6,Taraba State,2
Kwesati primary health center,USSA,Taraba State,,,,Yes,,,,Yes,No,Thrown in a Pit,,,,No,2.0,,Taraba State,
Kwesati primary health center,USSA ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,No,Yes,,,0,Taraba State,
Laapo Primary Health Care Center,Zing,Taraba State,Yes,No,Yes,No,No,No,Yes,No,No,Thrown in a Pit,,No,Yes,No,0.0,1,Taraba State,1
Lagos Buban Health Post,Donga,Taraba State,Yes,Yes,Yes,No,No,No,Yes,No,No,Burnt,Pit,No,Yes,No,0.0,1,Taraba State,0
Lamido Borno primary health care center,Ardo kola,Taraba State,No,Yes,No,Yes,Yes,No,No,Yes,No,Burnt,,No,No,Yes,2.0,6,Taraba State,2
Lankaviri Primary Health Care Center,Yorro,Taraba State,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Thrown in a Pit,Burnt,Yes,No,No,0.0,Greater than 10,Taraba State,2
Lau Primary Health Care Centre,Lau,Taraba State,No,No,Yes,Yes,Yes,No,Yes,No,No,Discarded by Waste Managers,,Yes,Yes,Yes,1.0,7,Taraba State,2
Lekitaba primary health center,Sardauna,Taraba State,,,,No,,,,No,No,Thrown in a Pit,Pit,,,Yes,0.0,,Taraba State,5
Lekitaba primary health center,Sardauna ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,Yes,Yes,,,6,Taraba State,5
Mayo Ndaga Primary Health Center,Sardauna,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Burnt,,Yes,Yes,Yes,2.0,10,Taraba State,4
Mayo-Kam primary health care center,Bali,Taraba State,,,,Yes,,,,Yes,No,Thrown in a Pit,Pit,,,Yes,3.0,,Taraba State,2
Mayo-Kam primary health care center,Bali ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,Yes,Yes,,,10,Taraba State,2
Mutum-Biyu Primary Healthcare Centre,Gassol,Taraba State,,,,Yes,,,,No,No,Sanitary Land Fill,Burnt,,,No,0.0,,Taraba State,4
Mutum-Biyu Primary Healthcare Centre ,Gassol ,Taraba State,No,Yes,Yes,,Yes,No,No,,,,,Yes,No,,,Greater than 10,,
Ndo(Ando) idi PHCC,Wukari,Taraba State,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Burnt,,Yes,Yes,No,4.0,Greater than 10,Taraba State,2
Negrah primary health center,Sardauna,Taraba State,,,,Yes,,,,Yes,No,Thrown in a Pit,Pit,,,Yes,5.0,,Taraba State,2
Negrah primary health center,Sardauna ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,Yes,No,,,6,Taraba State,2
Nyita primary health care center,Gonga,Taraba State,,,,Yes,,,,Yes,No,Thrown in a Pit,,,,No,0.0,,Taraba State,2
Nyita primary health care center,Gonga ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,Yes,Yes,,,9,Taraba State,2
Old Barade Modern Primary Healthcare Centre,Jalingo,Taraba State,Yes,Yes,Yes,No,No,No,No,No,No,Burnt,"Thrown in the bush, sometimes. But that's rare, according to the respondent.",Yes,No,No,0.0,4,Taraba State,1
Pamanga Primary Health Care Centers,Bali,Taraba State,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Thrown in a Pit,Burnt,Yes,Yes,Yes,3.0,8,Taraba State,2
Phcc Sarki Kudu Ibi Lga,Ibi,Taraba State,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Thrown in a Pit,Burnt,No,Yes,No,0.0,4,Taraba State,2
Phcc Zango Kombi,Ardo-kola,Taraba State,Yes,No,Yes,Yes,Yes,No,No,No,No,Thrown in a Pit,Burnt,Yes,Yes,Yes,4.0,7,Taraba State,2
Primary Health Care Center  Mallum,Ardo-kola,Taraba State,Yes,No,No,,No,No,Yes,,,,,No,Yes,,,7,,
Primary Health Care Center Mallum,Ardo-kola,Taraba State,,,,Yes,,,,No,No,Thrown in a Pit,Burnt,,,No,0.0,,Taraba State,2
Primary Health Care Centre Ardo Kola,Ardo-kola,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Thrown in a Pit,Bury and burnt,Yes,Yes,Yes,6.0,Greater than 10,Taraba State,6
Primary Health Care Centre Sibre,Ardo-kola,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Burnt,Bury,No,Yes,No,0.0,4,Taraba State,4
Primary Health Care Rafin Damisa Dispensary.,Ibi,Taraba State,No,Yes,Yes,No,No,No,Yes,No,No,Burnt,Bury,No,Yes,No,0.0,0,Taraba State,1
Puje(wukari) PHCC,Wukari,Taraba State,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Burnt,,Yes,Yes,Yes,4.0,9,Taraba State,4
Pupule Primary Health Care Center,Yorro,Taraba State,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Thrown in a Pit,Burnt,Yes,No,Yes,1.0,8,Taraba State,2
Pwadzu,Wukari,Taraba State,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Thrown in a Pit,,Yes,No,Yes,5.0,7,Taraba State,3
Sabo Gida Primary Health Care Centre,Gassol,Taraba State,Yes,Yes,Yes,No,No,No,Yes,No,No,Burnt,,Yes,Yes,Yes,2.0,4,Taraba State,2
Sahkaka primary health clinic,Sardauna,Taraba State,,,,Yes,,,,Yes,No,Thrown in Bush,,,,No,1.0,,Taraba State,3
Sahkaka primary health clinic,Sardauna ,Taraba State,No,No,No,,No,No,No,,,,,No,No,,,10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
