Name of Primary Health Center,PHC LGA,State of PHC,What is the source of Power?
Madacci Primary Health Care,Tambuwal,Sokoto State,"None,"
Bashire Primary Health Care,Tambuwal,Sokoto State,"None,"
Nabaguda Primary Health Care,Tambuwal,Sokoto State,"Power Holding Company (National grid),"
Primary Health Care  Tambuwal,Tambuwal,Sokoto State,"Power Holding Company (National grid),"
Alhassan Primary Health Care,Tambuwal,Sokoto State,"Power Holding Company (National grid),"
Buwade Primary Health Cente,Tambuwal,Sokoto State,"None,"
Kandam Health Post,Tangaza,Sokoto State,"Solar,"
Sanyinna Primary Healthcare,Tambuwal,Sokoto State,"None,"
Dogondaji Primary Health Care,Tambuwal,Sokoto State,"Solar,"
Jabo Primary Health Centre Facility,Tambuwal,Sokoto State,"None,"
Darnar-Tsolawo Primary Health Centre,Ilella,Sokoto State,"None,"
Darnar-Sabongari Primary Health Centre,Ilella,Sokoto State,"None,"
Ruwa Wuri Primary Health Centre,Tangaza,Sokoto State,"None,"
Raka Primary Health Centre,Tangaza,Sokoto State,"None,"
Romon Sarki Primary Health Centre,Tambuwal,Sokoto State,"None,"
Tandamare Primary Health Centre,Tambuwal,Sokoto State,"None,"
Ginjo Primary Health Centre,Binji,Sokoto State,"None,"
Banganange Health Post,Dange Shuni ,Sokoto State,Solar
Primary health center Sabon birni kware,Kware,Sokoto State,None
KWARE COMPREHENSIVE HEALTH CENTER ,Kware ,Sokoto State,Power Holding Company (National grid) Solar
Lambar Tureta Health Post,Tureta ,Sokoto State,Solar
Wababe Health Post ,Dange Shuni ,Sokoto State,Power Holding Company (National grid)
Bachaka Primary Healthcare,Gudu,Sokoto State,Solar
Karfen Sarki Healthcare Centre,Gudu,Sokoto State,None
Zugana Health Post,Gwadabawa ,Sokoto State,None
Dundaye Health Clinic,Wamako ,Sokoto State,Power Holding Company (National grid)
Gidan Tudu Health Post,Wamako ,Sokoto State,None
Arkilla Primary Health Centre,Wamako ,Sokoto State,Power Holding Company (National grid) Generator
Bunkari Model PHC,Binji ,Sokoto State,Solar
Taudin zaidi Health Post,Binji ,Sokoto State,None
Rinin Tawaye Primary Health Centre,Sokoto North,Sokoto State,Solar Power Holding Company (National grid)
Mana Babba Primary Health Centre,Sokoto South,Sokoto State,Power Holding Company (National grid)
Tozai primary health care,Illela,Sokoto State,Solar
Amarawa health post,Illela,Sokoto State,Solar
Abdalo health post,Gwadabawa,Sokoto State,None
Alibawa PHC,Gada ,Sokoto State,None
Wauru PHC,Gada ,Sokoto State,Solar
Rabammawa Health Post,Gudu ,Sokoto State,None
Gandi primary health center,Rabah,Sokoto State,Solar
BALKORI PRIMARY HEALTH CENTER,Kware,Sokoto State,None
Huchi Primary Health Centre,Gwadabawa ,Sokoto State,None
Balla Health Post,Goronyo ,Sokoto State,None
Dutsin Gwanma Health Post,Shagari ,Sokoto State,None
"Bagarawa PHC, ",Bodinga ,Sokoto State,None
Zangalawa Health Clinic ,Bodinga ,Sokoto State,None
Gesalode Health Post,Tambuwal ,Sokoto State,None
Bagida Health Post,Tambuwal ,Sokoto State,None
Ginjo Health Post,Tangaza ,Sokoto State,None
Sarma A Health Post,Tangaza ,Sokoto State,None
Kuchi Phc Kebbe sokoto,Kebbe  sokoto,Sokoto State,None
Gandu Modibbo Healthcare Center,Kware ,Sokoto State,None
Kware Comprehensive Health Centre,Kware ,Sokoto State,Solar Power Holding Company (National grid)
Farfaru Primary Health Centre,Wamakko ,Sokoto State,Power Holding Company (National grid) Solar Generator
Gwiwa Primary Health Care,Wamakko ,Sokoto State,Solar
Wamakko Primary Health Centre,Wammako,Sokoto State,Solar
Durbawa Primary Health Centre,KWARE ,Sokoto State,Solar
HAMMA ALI Primary Health Centre,KWARE ,Sokoto State,Solar
Gidan Dahala Primary Health Centre,SOKOTO SOUTH ,Sokoto State,Solar
BAZZA PRIMARY HEALTH CARE CENTER,SOKOTO NORTH,Sokoto State,Power Holding Company (National grid)
