Name of Primary Health Center,PHC LGA,State of PHC,What is the source of Power?
Ndiakwu Primary Health Centre  Otolo Nnewi  Anambra State,Nnewi North,Anambra state,"Generator,"
Oliobu Orofia Primary Health Center,Njikoka,Anambra state,"Power Holding Company (National grid),"
Ndiukwuenu Primary Health Centre,Orumba North,Anambra state,"None,"
Igbu Health Clinic  Awkuzu,Oyi,Anambra state,"Power Holding Company (National grid),"
Ifite Awkuzu Primary Health Center,Oyi,Anambra state,"Power Holding Company (National grid), Generator,"
Ojoto Uno Primary Health Centre,Idemili South,Anambra state,"Power Holding Company (National grid), Generator,"
Uruagu Health Centre,Idemili South,Anambra state,"Power Holding Company (National grid),"
Alor Primary Health Centre,Idemili South,Anambra state,"Solar, Generator,"
St. John De Baptist Health Post,Onitsha South,Anambra state,"Power Holding Company (National grid),"
Ngo Health Post,Idemili South,Anambra state,"Power Holding Company (National grid),"
Nnaku Health Post,Idemili South,Anambra state,"Power Holding Company (National grid),"
Azia Primary Health Centre,Ihiala,Anambra state,"Power Holding Company (National grid),"
Isseke Primary Health Centre,Ihiala,Anambra state,"Generator,"
Umuaku Uli Health Centre,Ihiala,Anambra state,"Generator,"
Community Representative Referral Health Center  Akwaeze,Anaocha,Anambra state,"Power Holding Company (National grid),"
Aguluzigbo Primary Health Center,Anaocha,Anambra state,"Generator,"
Adazi-Nnuku Community Representative Referral Health Centre,Anaocha,Anambra state," Power Holding Company (National grid), Generator,"
Adazi Ani 1 Primary Health Care Centre,Anaocha,Anambra state,"Power Holding Company (National grid),"
Ora-Eri Primary Health Center,Aguata,Anambra state,"Solar, Generator,"
Oba Ii Primary Health Centre,Idemili South,Anambra state,"Power Holding Company (National grid), Generator,"
Amesi Primary Health Centre,Aguata,Anambra state,"Power Holding Company (National grid), Generator,"
Nkpologwu Model Primary Health Centre,Aguata,Anambra state,"Power Holding Company (National grid), Generator,"
Oye Achina Primary Health Centre,Aguata,Anambra state,"Power Holding Company (National grid), Generator,"
Ikenga Primary Health Centre,Aguata,Anambra state,"Power Holding Company (National grid), Generator,"
Our Lady Of Fatima Health Centre/Post,Onitsha North,Anambra state,"Power Holding Company (National grid),"
Ifite Ezinifite Primary Health Centre,Aguata,Anambra state,"Generator,"
Aku Ezinifite Primary Health Centre,Aguata,Anambra state,"Power Holding Company (National grid),"
Nneoha Primary Health Centre  Agulu Iv.,Anaocha,Anambra state,"Generator,"
St. Stephen Primary Health Care Centre,Oyi,Anambra state,"Power Holding Company (National grid),"
Abaku Health Clinic,Oyi,Anambra state,"Power Holding Company (National grid),"
Umuowelle Primary Health Centre  Agulu Iii,Anaocha,Anambra state,"Power Holding Company (National grid),"
Ichida Primary Health Centre  Ward Ii,Anaocha,Anambra state,"Generator, Power Holding Company (National grid),"
Queen Of Rosary Health Clinic,Onitsha North,Anambra state,"Power Holding Company (National grid), Solar,"
Recreation Health Post,Onitsha South,Anambra state,"Power Holding Company (National grid), Generator,"
St. Barnabas Health Post,Onitsha South,Anambra state,"Power Holding Company (National grid), Generator,"
Sokoto Road Health Post,Onitsha South,Anambra state,"Power Holding Company (National grid), Generator,"
"UMUOMA PRIMARY HEALTH CENTER, ULI ANAMBRA STATE.",IHIALA ,Anambra State,Generator
EBE PRIMARY HEALTH CENTRE,NNEWI SOUTH ,Anambra State,Power Holding Company (National grid) Generator
OSUMENYI PRIMARY HEALTH CENTRE,NNEWI SOUTH ,Anambra State,Solar Power Holding Company (National grid)
"EZUMERI PRIMARY HEALTH CENTRE, ORAIFITE, EKWUSIGO LGA, ANAMBRA STATE.",EKWUSIGO ,Anambra State,Power Holding Company (National grid)
ABIDI HEALTH POST,IDEMILI NORTH ,Anambra State,Power Holding Company (National grid)
Ajalli Model Primary Health centre,Orumba North,Anambra State,Solar Power Holding Company (National grid)
Akpu Primary Health centre,Orumba South,Anambra State,Solar Power Holding Company (National grid)
ODIDA PRIMARY HEALTH CENTRE,IDEMILI NORTH ,Anambra State,Solar Power Holding Company (National grid)
AKABOR HEALTH POST,IDEMILI SOUTH ,Anambra State,None
NNOBI MODEL PRIMARY HEALTH CENTER,IDEMILI SOUTH ,Anambra State,Generator
St John Health Centre,Onitsha South,Anambra State,Solar Power Holding Company (National grid)
Model Primary Health Centre Odoakpu,Onitsha South,Anambra State,Solar
"Akanator Primary Health Centre, Omor",Ayamelum ,Anambra State,Solar
Umuria Primary Health Centre,Ayamelum ,Anambra State,None
Abaegbu Primary Health Centre,Anambra West,Anambra State,None
OGBOYE PRIMARY HEALTH CENTRE,ONITSHA NORTH ,Anambra State,Power Holding Company (National grid) Generator
"Model Primary Health centre, Ubaha, Ndiowu",Orumba North,Anambra State,Solar
"Primary Health centre, Agbudu",Orumba South,Anambra State,None
Abagana Primary Healthcare Centre,Njikoka Local Government Area,Anambra State,Power Holding Company (National grid) Solar Generator
Umudiaba Primary Healthcare Centre Nimo,Njikoka Local Government,Anambra State,Solar Generator
Abata Nsugbe Primary Health Centre,Anambra East,Anambra State,Solar
Igbariam Old Primary Health Centre,Anambra East,Anambra State,Solar Power Holding Company (National grid)
Adazi Nnukwu primary health centre Ward 1,Anaocha ,Anambra State,Power Holding Company (National grid) None
Mkpologwu health post,Aguata ,Anambra State,None
Umuonyiba health post,Orumba North ,Anambra State,Power Holding Company (National grid)
Umudioka Primary Health Centre ,Dunukofia Local Government Area,Anambra State,Solar Generator
"Primary Health Care Centre, Obinetiti, Umudunu Dusogu, Awkuzu",Oyi Local Government Area,Anambra State,None
Abakpu Health Clinic,Oyi Local Government Area,Anambra State,Power Holding Company (National grid) Solar
Achalla Umuchu primary health centre,Aguata ,Anambra State,Power Holding Company (National grid) Solar
Agulu Awka Primary Health Centre (formerly Agulu Awka Health Post),Awka South Local Government Area,Anambra State,Solar Power Holding Company (National grid) Generator
Ovollo Mbaukwu Health Post,Awka South Local Government Area,Anambra State,Power Holding Company (National grid)
Ndimgbu Health post,Nnewi North ,Anambra State,None
Nri II Primary Health centre,Anaocha ,Anambra State,Solar Generator
AKWA PRIMARY HEALTH CENTRE,DUNUKOFIA ,Anambra State,Power Holding Company (National grid) Generator
Abito Ezike Primary Health Centre,Ekwusigo Local Government Area,Anambra State,None
Ubahu Primary Health Centre,Ekwusigo Local Government Area,Anambra State,Solar Generator
Achalla Health Post,Awka North Local Government Area,Anambra State,Power Holding Company (National grid) Solar
Ugbenu Primary Health Centre,Awka North Local Government Area,Anambra State,Solar
Ohita Primary Health Centre,Ogbaru ,Anambra State,None
Afube health post,Nnewi South local government area,Anambra State,Power Holding Company (National grid)
Uru primary healthcare centre 1,Nnewi North Local Government Area,Anambra State,Power Holding Company (National grid)
Abubor primary health centre,Nnewi North Local Government Area,Anambra State,Power Holding Company (National grid) Solar
