Name of Primary Health Center,PHC LGA,State of PHC,What is the source of Power?
UMUOLOGHU PRIMARY HEALTH CENTER,UMUNEOCHI ,Abia State,Generator
AZUIYI HEALTH CENTER,IKWUANO ,Abia State,None
Umuokennunu Primary Health Center,AVA SOUTH ,Abia State,None
Amaeke Ibeku Health Center,Umuahia North ,Abia State,Power Holding Company (National grid)
Afugiri Primary Health Center,Umuahia North ,Abia State,Power Holding Company (National grid) Generator
AMAUHIE PRIMARY HEALTH CENTER,Umuahia North ,Abia State,Power Holding Company (National grid)
Oriendu Health Center,Umuahia North ,Abia State,Power Holding Company (National grid)
OKWULAGA AFARA HEALTH CENTER,Umuahia North ,Abia State,Power Holding Company (National grid)
LODU HEALTH CENTER,Umuahia North ,Abia State,Power Holding Company (National grid)
OHOKOBE MBAOCHA Primary Health Center,Umuahia North ,Abia State,Power Holding Company (National grid)
Umudiawa Health Center,Umuahia North ,Abia State,Power Holding Company (National grid)
AMAEKPU HEALTH CENTER,Ohafia ,Abia State,Power Holding Company (National grid) Generator
L.G.A Clinic,Ohafia ,Abia State,Generator
Mgbokonta Health Center,Isiala-Ngwa South,Abia State,None
Osaa Ukwu Primary Health Center,Obi Ngwa ,Abia State,Power Holding Company (National grid)
Ahiaba Health Post,Obi Ngwa ,Abia State,Power Holding Company (National grid) Generator
Umuokpo Health Post,Obi Ngwa ,Abia State,None
Africare Primary Health Center,Isiala-Ngwa South ,Abia State,Power Holding Company (National grid)
Alaukwu Model Primary Health Center,Isiala-Ngwa South ,Abia State,Power Holding Company (National grid) Generator
Umuobiakwa Health Post,Obi Ngwa ,Abia State,None
Omoba Primary Health Center,Isiala-Ngwa South ,Abia State,Generator
Ikeala Mbutu Health bpost,Isiala-Ngwa South ,Abia State,None
Mbutu Ukwu Primary Health Center,Isiala-Ngwa South ,Abia State,Power Holding Company (National grid)
Abala Primary Health Center,Obi Ngwa ,Abia State,Solar Power Holding Company (National grid)
Umuajuju Primary Health Center,Isiala-Ngwa South ,Abia State,Power Holding Company (National grid)
Umuhu Health Center,Isiala-Ngwa South ,Abia State,Power Holding Company (National grid)
Abayi Ohanze Health Post,Obi Ngwa ,Abia State,None
Isiala Ovom Health Post,Obi Ngwa ,Abia State,None
Itungwa Primary Health Center,Obi Ngwa ,Abia State,Power Holding Company (National grid)
Umuotiri Primary Health Center,Isiala-Ngwa South ,Abia State,Power Holding Company (National grid)
Ebeyi Primary Health Center,Isiala-Ngwa South ,Abia State,None
Umuaokatawom Health Center,Obi Ngwa ,Abia State,Power Holding Company (National grid)
Umuosu Health Center,Isiala-Ngwa North ,Abia State,None
Mbano Ntighauzor Primary Health Center,Obi Ngwa ,Abia State,Power Holding Company (National grid)
AMUMA HEALTH CLINIC,Ohafia ,Abia State,None
Ohuafor Primary Health Center,Ohafia ,Abia State,Generator Solar
ABIA HEALTH CENTER,Ohafia ,Abia State,Generator
NDI ORIEKE HEALTH CENTER,Ohafia ,Abia State,Solar Generator
Obuofia Health Center,Ohafia ,Abia State,None
Ugwufie Primary Health Center,Ohafia ,Abia State,Generator
AMOGUDU 1 HEALTH CENTER,Ohafia ,Abia State,Generator
Infant Welfare Clinic,Umuahia North ,Abia State,Power Holding Company (National grid)
